year	 month	 day	 hour	 R0	 UV0	 Rs
2014.0	 6.0	 13.0	 6.0	 336.511	 19.201	 67.613
2014.0	 6.0	 13.0	 7.0	 605.496	 34.549	 156.104
2014.0	 6.0	 13.0	 8.0	 855.746	 48.828	 370.397
2014.0	 6.0	 13.0	 9.0	 1070.8	 61.099	 577.952
2014.0	 6.0	 13.0	 10.0	 1235.746	 70.511	 638.211
2014.0	 6.0	 13.0	 11.0	 1339.343	 76.422	 565.923
2014.0	 6.0	 13.0	 12.0	 1374.531	 78.43	 852.629
2014.0	 6.0	 13.0	 13.0	 1338.912	 76.397	 434.929
2014.0	 6.0	 13.0	 14.0	 1234.913	 70.463	 551.972
2014.0	 6.0	 13.0	 15.0	 1069.622	 61.032	 315.807
2014.0	 6.0	 13.0	 16.0	 854.303	 48.746	 491.557
2014.0	 6.0	 13.0	 17.0	 603.629	 34.443	 308.505
2014.0	 6.0	 13.0	 18.0	 334.684	 19.097	 177.836
2014.0	 6.0	 14.0	 6.0	 336.35	 19.192	 51.654
2014.0	 6.0	 14.0	 7.0	 605.239	 34.535	 134.992
2014.0	 6.0	 14.0	 8.0	 855.436	 48.811	 306.86
2014.0	 6.0	 14.0	 9.0	 1070.563	 61.085	 387.425
2014.0	 6.0	 14.0	 10.0	 1235.646	 70.505	 659.901
2014.0	 6.0	 14.0	 11.0	 1339.435	 76.427	 751.602
2014.0	 6.0	 14.0	 12.0	 1374.858	 78.448	 712.191
2014.0	 6.0	 14.0	 13.0	 1339.499	 76.431	 662.335
2014.0	 6.0	 14.0	 14.0	 1235.77	 70.512	 639.502
2014.0	 6.0	 14.0	 15.0	 1070.738	 61.096	 397.941
2014.0	 6.0	 14.0	 16.0	 855.651	 48.823	 413.874
2014.0	 6.0	 14.0	 17.0	 605.165	 34.53	 257.567
2014.0	 6.0	 14.0	 18.0	 336.352	 19.192	 77.926
2014.0	 6.0	 15.0	 6.0	 336.106	 19.178	 29.642
2014.0	 6.0	 15.0	 7.0	 604.927	 34.517	 83.375
2014.0	 6.0	 15.0	 8.0	 855.05	 48.789	 235.488
2014.0	 6.0	 15.0	 9.0	 1070.262	 61.068	 296.046
2014.0	 6.0	 15.0	 10.0	 1235.492	 70.496	 125.938
2014.0	 6.0	 15.0	 11.0	 1339.481	 76.43	 82.304
2014.0	 6.0	 15.0	 12.0	 1375.142	 78.465	 52.661
2014.0	 6.0	 15.0	 13.0	 1340.045	 76.462	 351.425
2014.0	 6.0	 15.0	 14.0	 1236.582	 70.558	 363.14
2014.0	 6.0	 15.0	 15.0	 1071.803	 61.156	 252.077
2014.0	 6.0	 15.0	 16.0	 856.938	 48.896	 218.369
2014.0	 6.0	 15.0	 17.0	 606.63	 34.614	 175.048
2014.0	 6.0	 15.0	 18.0	 337.937	 19.282	 48.842
2014.0	 6.0	 16.0	 9.0	 1069.898	 61.048	 76.409
2014.0	 6.0	 16.0	 10.0	 1235.285	 70.484	 202.715
2014.0	 6.0	 16.0	 11.0	 1339.481	 76.43	 116.086
2014.0	 6.0	 16.0	 12.0	 1375.385	 78.478	 281.832
2014.0	 6.0	 16.0	 13.0	 1340.55	 76.491	 314.099
2014.0	 6.0	 16.0	 14.0	 1237.35	 70.602	 231.168
2014.0	 6.0	 16.0	 15.0	 1072.817	 61.214	 147.253
2014.0	 6.0	 16.0	 16.0	 858.166	 48.966	 390.941
2014.0	 6.0	 16.0	 17.0	 608.023	 34.693	 443.456
2014.0	 6.0	 16.0	 18.0	 339.435	 19.368	 167.197
2014.0	 6.0	 17.0	 6.0	 335.306	 19.132	 47.024
2014.0	 6.0	 17.0	 7.0	 604.034	 34.466	 162.294
2014.0	 6.0	 17.0	 8.0	 854.057	 48.732	 164.827
2014.0	 6.0	 17.0	 9.0	 1069.473	 61.023	 336.902
2014.0	 6.0	 17.0	 10.0	 1235.027	 70.47	 195.285
2014.0	 6.0	 17.0	 11.0	 1339.437	 76.427	 302.309
2014.0	 6.0	 17.0	 12.0	 1375.587	 78.49	 430.547
2014.0	 6.0	 17.0	 13.0	 1341.013	 76.517	 736.036
2014.0	 6.0	 17.0	 14.0	 1238.072	 70.644	 800.203
2014.0	 6.0	 17.0	 15.0	 1073.78	 61.269	 595.132
2014.0	 6.0	 17.0	 16.0	 859.331	 49.033	 219.86
2014.0	 6.0	 17.0	 17.0	 609.341	 34.769	 172.683
2014.0	 6.0	 17.0	 18.0	 340.847	 19.448	 138.963
2014.0	 6.0	 18.0	 6.0	 334.756	 19.101	 49.41
2014.0	 6.0	 18.0	 7.0	 603.458	 34.433	 153.047
2014.0	 6.0	 18.0	 8.0	 853.451	 48.697	 298.082
2014.0	 6.0	 18.0	 9.0	 1068.987	 60.996	 440.71
2014.0	 6.0	 18.0	 10.0	 1234.718	 70.452	 560.256
2014.0	 6.0	 18.0	 11.0	 1339.348	 76.422	 452.424
2014.0	 6.0	 18.0	 12.0	 1375.747	 78.499	 770.277
2014.0	 6.0	 18.0	 13.0	 1341.434	 76.541	 717.646
2014.0	 6.0	 18.0	 14.0	 1238.749	 70.682	 561.947
2014.0	 6.0	 18.0	 15.0	 1074.688	 61.321	 168.158
2014.0	 6.0	 18.0	 16.0	 860.433	 49.096	 213.949
2014.0	 6.0	 18.0	 17.0	 610.584	 34.84	 81.916
2014.0	 6.0	 18.0	 18.0	 342.169	 19.524	 47.676
2014.0	 6.0	 19.0	 6.0	 334.106	 19.064	 21.339
2014.0	 6.0	 19.0	 7.0	 602.796	 34.395	 52.418
2014.0	 6.0	 19.0	 8.0	 852.774	 48.659	 127.466
2014.0	 6.0	 19.0	 9.0	 1068.443	 60.965	 42.987
2014.0	 6.0	 19.0	 12.0	 1375.866	 78.506	 105.795
2014.0	 6.0	 19.0	 13.0	 1341.814	 76.563	 313.041
2014.0	 6.0	 19.0	 14.0	 1239.38	 70.718	 135.85
2014.0	 6.0	 19.0	 15.0	 1075.543	 61.37	 69.467
2014.0	 6.0	 20.0	 6.0	 333.358	 19.021	 13.083
2014.0	 6.0	 20.0	 7.0	 602.051	 34.353	 44.226
2014.0	 6.0	 20.0	 8.0	 851.929	 48.611	 82.973
2014.0	 6.0	 20.0	 9.0	 1067.716	 60.923	 111.453
2014.0	 6.0	 20.0	 10.0	 1233.807	 70.4	 102.425
2014.0	 6.0	 20.0	 11.0	 1338.883	 76.396	 249.791
2014.0	 6.0	 20.0	 12.0	 1375.784	 78.501	 97.234
2014.0	 6.0	 20.0	 13.0	 1341.995	 76.573	 284.823
2014.0	 6.0	 20.0	 14.0	 1239.818	 70.743	 85.715
2014.0	 6.0	 20.0	 15.0	 1076.218	 61.408	 534.454
2014.0	 6.0	 20.0	 16.0	 862.342	 49.205	 267.947
2014.0	 6.0	 20.0	 17.0	 612.766	 34.964	 407.786
2014.0	 6.0	 20.0	 18.0	 344.499	 19.657	 238.543
2014.0	 6.0	 21.0	 6.0	 332.476	 18.971	 44.476
2014.0	 6.0	 21.0	 7.0	 601.153	 34.301	 119.974
2014.0	 6.0	 21.0	 8.0	 851.116	 48.564	 136.124
2014.0	 6.0	 21.0	 9.0	 1067.057	 60.885	 81.638
2014.0	 6.0	 21.0	 10.0	 1233.35	 70.374	 214.887
2014.0	 6.0	 21.0	 11.0	 1338.664	 76.383	 223.523
2014.0	 6.0	 21.0	 12.0	 1375.821	 78.503	 341.519
2014.0	 6.0	 21.0	 13.0	 1342.289	 76.59	 190.563
2014.0	 6.0	 21.0	 15.0	 1076.961	 61.451	 143.153
2014.0	 6.0	 21.0	 16.0	 863.247	 49.256	 531.653
2014.0	 6.0	 21.0	 17.0	 613.774	 35.021	 344.194
2014.0	 6.0	 21.0	 18.0	 345.545	 19.717	 150.027
